OBJECTID,FEATURE_TY,PROVINCE,Area_km,PROV_CODE,DIST_CODE,DISTRICT,Shape__Area,Shape__Length
85,District Town,Luapula,1214.22282327,104,104008,Mwansabombwe,1214507129.4397,177327.968692228
86,District Town,Luapula,2407.17244394,104,104009,Mwense,2505354993.95483,348131.952929265
87,District Town,North-Western,18728.1538126,108,108007,Mwinilunga,19678983878.7473,1220343.29250336
88,District Town,Muchinga,4382.86933236,106,106006,Nakonde,4896603974.77148,476400.91460614
89,District Town,Western,4781.63636425,110,110010,Nalolo,5173744330.80859,427472.27344578
90,District Town,Southern,5680.74709438,109,109009,Namwala,6184282198.03271,429455.96581731
91,District Town,Luapula,4091.71404294,104,104010,Nchelenge,4228626668.74121,390348.247615309
92,City,Copperbelt,953.721374461,102,102010,Ndola,1010418661.2207,221877.564681342
93,District Town,Central,7194.3098767,101,101010,Ngabwe,7695570212.11963,565736.753974815
94,District Town,Western,3775.05438988,110,110011,Nkeyema,4064237287.63965,310688.305243379
95,District Town,Northern,7495.42376764,107,107009,Nsama,7709227919.92188,605069.330196396
96,District Town,Eastern,10446.4905208,103,103006,Nyimba,11277743492.75,607075.01739345
97,District Town,Southern,1892.36344075,109,109010,Pemba,2075806700.91895,272877.368457009
98,District Town,Eastern,3642.93584432,103,103007,Petauke,3777438966.18848,386016.731184138
99,District Town,Lusaka,9504.75406369,105,105007,Rufunsa,10251132815.0967,525923.382366474
100,District Town,Luapula,3288.9859099,104,104011,Samfya,3449183200.802,378632.417455313
101,District Town,Western,10682.4293677,110,110012,Senanga,11605040120.1348,677733.207181346
102,District Town,Northern,5214.99293472,107,107010,Senga Hill,5358976288.38477,591894.427434648
103,District Town,Central,11546.7288447,101,101011,Serenje,12247022407.9531,723543.008309614
104,District Town,Western,11794.7791805,110,110013,Sesheke,12956590685.8574,667617.693849071
105,District Town,Western,7811.81102477,110,110014,Shangombo,8491094076.20508,692693.96492837
106,District Town,Central,1639.53629347,101,101012,Shibuyunji,1872700613.22803,305325.094286782
107,District Tiwn,Muchinga,9254.196523,106,106007,Shiwang'Andu,9609750509.66333,686978.673324829
108,District Town,Southern,2557.1913408,109,109011,Siavonga,2795245306.01611,276335.81775947
109,District Town,Western,8133.55627236,110,110015,Sikongo,8740236411.22656,660151.67738455
110,District Town,Southern,4826.20764934,109,109012,Sinazongwe,5334589942.59814,413936.365346823
111,District Town,Eastern,2638.66128555,103,103008,Sinda,2816731542.55713,298931.612194604
112,District Town,Western,8528.0257154,110,110016,Sioma,9320911137.29443,584213.445980401
113,Provincial Town,North-Western,3338.971941,108,108008,Solwezi,3519685756.75195,412479.700901142
114,District Town,Eastern,954.7544202,103,103009,Vubwi,1053318493.125,223682.593172703
115,District Town,North-Western,14027.1466439,108,108009,Zambezi,14868238225.6169,841223.645597269
116,District Town,Southern,5447.86099004,109,109013,Zimba,6070741211.67041,528065.730446412
